de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars
Miesmuschel, roh;Moule, crue;Cozze, crude;Molluscs, blue mussel, raw;3;85;3;0,5;0;11,7;130;290;0
Milch (Durchschnitt);Lait (en moyenne);Latte (in media);Milk (average);5;65;3;2;0;3,3;8,5;39;4,6
Milchkaffee dunkel, ungezuckert;Café au lait (foncé), non sucré;Caffelatte (scuro), non zuccherato;Flat white (little milk), no sugar added;1;20;1;0,5;0,1;0,8;2,1;9,2;1
Milchkaffee hell, ungezuckert;Café au lait (claire), non sucré;Caffelatte (bianco), non zuccherato;Flat white (much milk), no sugar added;2;25;1;0,8;0,1;1,1;2,9;13;1,4
Milchkaffee, ungezuckert;Café au lait, non sucré;Caffelatte, non zuccerato;Flat white, no sugar added;1;20;1;0,7;0,1;1;2,6;11;1,2
Milchreis, zubereitet (mit teilentrahmter Milch);Riz au lait, préparé (avec du lait partiellement écrémé);Riso al latte, preparato (con latte parzialmente scremato);Rice pudding, prepared (with partially skimmed milk);20;135;4;2,1;0,2;5,4;10;86;5,6
Milchreis, zubereitet (mit Vollmilch);Riz au lait, préparé (avec du lait entier);Riso al latte, preparato (con latte parzialmente scremato);Rice pudding, prepared (with full fat milk);20;145;5;3,1;0,2;5,2;11;87;5,6
Milchschokolade;Chocolat au lait;Cioccolato al latte;Milk chocolate;57;540;31;19,3;1,9;6,5;17;180;55,2
Milchschokolade mit Alkoholfüllung;Chocolat au lait fourré à l‘alcool;Cioccolato al latte ripieno di alcool;Milk chocolate, filled with alcohol;59;490;23;13,3;2,9;5,4;4,5;55;58,3
Milchschokolade mit Crèmefüllung (Gianduja, Nougat);Chocolat au lait fourré à la crème (Gianduja, Nougat);Cioccolato al latte ripieno di crema (Gianduja, Nougat/Torrone);Milk chocolate, filled with cream (gianduja, nougat);47;575;39;18,2;3,6;6,9;4,6;50;46,4
Milchschokolade mit Mandel-Honig-Nougat;Chocolat au lait, avec nougat aux amandes et au miel;Cioccolato al latte con nougat/torrone alle mandorle e miele;Milk chocolate with almond, honey, nougat;55;535;31;17,7;1,9;7;7,1;86;54,3
Milchschokolade mit Nüssen;Chocolat au lait, avec noisettes;Cioccolato al latte con nocciole;Milk chocolate with nuts;46;570;38;16,3;3,2;8,4;7,6;73;44,7
Milchschokolade mit Weinbeeren, Nüssen und Mandeln;Chocolat au lait avec raisins secs, noisettes et amandes;Cioccolato al latte con uva secca, nocciole e mandorle;Milk chocolate with raisins, nuts, almonds;51;515;30;14,2;4,7;7,5;5,2;62;50,1
Minestrone;Minestrone;Minestrone;Minestrone;7;55;2;0,7;0,4;2;0;390;2,6
Minipic Würstchen;Saucisse type Minipic;Salsiccette Minipic;Minipic sausage;1;460;39;15,4;0;26,1;;1780;0,8
Mirabelle, gedünstet, abgetropft (ohne Zugabe von Zucker);Mirabelle, cuite,  égouttée (sans adjonction de sucre);Mirabelle, cotte, sgocciolate (senza aggiunta di zucchero);Mirabelle plum, stewed, drained (without addition of sugar);14;65;0;0;2,6;0,8;1,2;0;13,8
Mirabelle, roh;Mirabelle, crue;Prugne Mirabelle, cruda;Yellow plum, fresh;12;60;0;0;2,3;0,7;1;0;12
Mit Hackfleisch gefüllte Oliven, frittiert;Olives farcies avec de la viande hachée, frites;Olive farcite e fritte all'ascolana;Olives stuffed with minced meat, deep-fried;32;320;14;2,7;3,3;14,1;6,8;790;1,6
Molke, süss;Petit lait, doux;Siero di latte, dolce;Sweet whey;5;25;0;0,1;0;0,8;8;45;4,7
Morchel, gedünstet (ohne Zugabe von Fett und Salz);Morille, à l'étuvée (sans adjonction de graisse ni de sel);Spugnolo, stufato  (senza aggiunta di sale);Morel, stewed (without addition of fat and salt);1;35;0;0,1;8,5;2,1;12;2,1;0,1
Morchel, roh;Morille, crue;Spugnole, crude;Morel, fresh;1;30;0;0,1;7;1,7;10;2;0,1
Mortadella;Mortadella;Mortadella;Mortadella;1;305;27;9,9;0;15,7;1,5;840;0,8
Mostbröckli;Mostbröckli;Carne secca appenzellese, crudo;Mostbröckli (smoked and dried beef), raw;1;150;2;0,9;0;32,6;0;1860;0,5
Mozzarella;Mozzarella;Mozzarella;Mozzarella;1;255;20;11,4;0;18,7;4,8;140;0,7
Mürbeteig (mit Butter), süss, ungebacken;Pâte brisée (avec beurre), sucrée, crue;Pasta frolla (con burro), dolce, cruda;Short pastry base (with butter), sweet, raw;46;425;23;13;1,6;7,8;4,6;280;10,5
Mürbeteig (mit pflanzlichem Fett), süss, ungebacken;Pâte brisée (avec graisse végétale), sucrée, crue;Pasta frolla (con grasso vegetale), dolce, cruda;Short pastry base (with vegetable fat), sweet, raw;46;420;22;6,2;1,6;7,8;21;290;10,4
Mütschli;Petit pain;Panino;Bread roll, white;52;255;1;0,2;2,5;8,7;0,8;690;0,7
Nasi Goreng, zubereitet;Nasi Goreng, préparé;Nasi Goreng, preparato;Nasi Goreng, prepared;16;130;2;0,4;0,5;11;1,3;510;0,7
Nektarine, roh;Nectarine, crue;Pesca noce, cruda;Nectarine, fresh;10;55;0;0;2,2;0,9;1;4;10,2
Nussgipfel aus Blätterteig;Croissant aux noisettes, pâte feuilletée;Cornetto alle nocciole, pasta sfoglia;Croissant filled with nuts, puff pastry;36;420;27;10;2,6;6,6;1,8;210;13,8
Nussgipfel aus Hefeteig;Croissant aux noisette, pâte levée;Cornetto alle nocciole, pasta lievitata;Croissant filled with nuts, yeast dough;42;315;13;3,4;2,6;7,5;2,4;260;8,3
Nüsslisalat, roh;Mâche, crue;Formentino, crudo;Lamb's lettuce, raw;2;25;0;0,1;1,7;2;35;4;2
Nussschnecke aus Hefeteig;Escargot aux noisette, pâte levée;Lumachina alle nocciole, pasta lievitata;Nut roll with yeast dough;54;445;19;5,7;3,8;12;4;470;13,1
Ofen-Frites, tiefgekühlt;Frites au four, surgelées;Patate fritte al forno, surgelate;French fries for oven, deep-frozen;18;130;5;0,3;1,3;1,8;2,9;8,6;1
Olive, grün;Olive, verte;Olive, verdi;Olive, green;0;130;13;1,8;4;1,3;0;1610;0
Olive, schwarz;Olive, noire;Olive, nere;Olive, black;3;150;14;1,4;4,3;0,9;0;3290;
Olivenöl;Huile d'olive;Olio d'oliva;Olive oil;0;810;90;11,7;0;0;0;0,9;0
Orange, roh;Orange, crue;Arancia, cruda;Orange, fresh;9;45;0;0;1,8;1;0,9;4;8,6
Orangennektar;Nectar d'orange;Nettare d'arancia;Orange nectar;11;45;0;0;0,1;0,4;2;1;10,5
Orangensaft;Jus d'orange;Succo d'arancia;Orange juice;11;55;1;0;0,1;0,5;2,1;1;11,1
Orangensaft, angereichert mit Vitamin C;Jus d'orange, enrichi de vitamine C;Succo d'arancia a di vitamina C;Orange juice, fortified with vitamin C;12;55;1;0;0,1;0,5;2,1;1;12
Palmöl - Palmfett;Graisse de palme - Huile de palme;Grasso di palma - Olio di palma;Palm oil, palm fat;0;800;89;41,3;0;0;0;0,9;0
Pancetta;Pancetta;Pancetta;Pancetta;0;470;43;14,4;0;19,5;0;1850;0
Panettone;Panettone;Panettone;Panettone;57;355;11;5,6;2,8;6,4;;38;22,9
Paniermehl;Chapelure;Pangrattato;Breadcrumbs;72;370;2;0,3;4,5;14,2;2,8;760;2,8
Pantli;Pantli;Pantli;Pantli, beef and pork sausage;1;540;50;19,6;0;21,1;0,8;1600;0,9
Paprika (Gewürz);Paprika (épice);Paprica;Paprika (spice);35;360;13;2,1;20,9;14,8;5;34;33,2
Paranuss;Noix du Brésil;Noce del Brasile;Brazil nut;3;695;67;15,6;7;16,6;2,5;0,7;2,3
Pariserbrot;Baguette parisienne ;Pane parigino;Baguette;51;255;1;0,1;2,9;9;0,9;660;0,5
Parmesan;Parmesan;Parmigiano ;Parmesan cheese;0;375;26;15,4;0;36;40;450;0
Passionsfrucht, roh;Fruit de la passion, cru;Frutto della passione, crudo;Passion fruit, fresh;12;95;1;0,1;10,6;2,2;1,3;28;11,2
Pâté de campagne;Pâté de campagne;Pasticcio di campagna;Pâté de campagne;1;395;37;13,6;0,1;13,2;4,7;880;0,8
Peperoni, grün, gedünstet (ohne Zugabe von Fett und Salz);Poivron, vert, à l'étuvée (sans adjonction de graisse ni de sel);Peperone, verde, stufato (senza aggiunta di sale);Bell pepper, green, stewed (without addition of fat and salt);3;30;0;0;2,6;1;2,6;7,9;3,3
Peperoni, grün, roh;Poivron, vert, cru;Peperone verde, crudo;Bell pepper, green, raw;3;20;0;0;2;0,8;2;6;2,5
Peperoni, rot, gedünstet (ohne Zugabe von Fett und Salz);Poivron, rouge, à l'étuvée (sans adjonction de graisse ni de sel);Peperone, rosso, stufato (senza aggiunta di sale);Bell pepper, red, stewed (without addition of fat and salt);7;45;1;0,1;2,6;1,2;1,3;4;6,7
Peperoni, rot, roh;Poivron, rouge, cru;Peperone rosso, crudo;Bell pepper, red, raw;5;35;0;0,1;2;0,9;1;3;5,1
Petersilie, roh;Persil, cru;Prezzemolo, fresco;Parsley, fresh;7;60;1;0,1;4,3;3,9;3,4;38;4,8
Pfefferminze, roh;Menthe, crue;Menta, fresca;Peppermint, fresh;5;50;1;0,1;3;3,8;4;15;5,2
Pferd, Filet, roh;Cheval, filet, cru;Cavallo, filetto, crudo;Horse, filet, raw;0;105;2;0,8;0;21,4;1;44;0
Pferderagout mit Sauce, zubereitet;Ragoût de cheval avec sauce, préparé;Ragù di cavallo con salsa, preparato;Horse ragout with sauce, prepared;3;95;3;0,6;0,6;12,7;1,1;300;1,6
Pfirsich, gezuckert (Konserve);Pêche, sucrée, conserve;Pesche, zuccherate, conserva;Peach, sweetened, canned;19;85;0;0;1,8;0,4;2,6;0,5;19
Pfirsich, roh;Pêche, crue;Pesca, cruda;Peach, fresh;10;50;0;0;2;0,5;2,9;1;10
Pfirsich, ungezuckert (Konserve);Pêche, non sucrée, conserve;Pesche, non zuccherate, conserva;Peach, unsweetened, canned;10;50;0;0;2;0,5;2,9;0,6;10
Pflaume, gedünstet, abgetropft (ohne Zugabe von Zucker);Pruneau, cuite,  égouttée (sans adjonction de sucre);Prugne, cotte, sgocciolate (senza aggiunta di zuccheri);Plum, stewed, drained (without addition of sugar);13;60;0;0;2;0,7;1,7;2,1;10,9
Pflaume, getrocknet;Pruneau, sec;Prugne, secca;Prune, dried;40;205;0;0;16;2,5;0,8;12;39,8
Pflaume, roh;Prune, crue;Prugna, cruda;Plum, fresh;10;50;0;0;1,6;0,6;1,4;1,7;8,8
Pflaumenkuchen, gebacken (mit Blätterteig);Tarte aux prunes, cuite au four (pâte feuilletée);Torta di prugna, cotta nel forno (pasta sfoglia);Plum pie, baked (with puff pastry);16;140;7;3,8;1,4;2,5;3,4;93;7,7
Pflaumenkuchen, gebacken (mit Kuchenteig);Tarte aux prunes, cuite au four (pâte à gateau);Torta di prugna, cotta nel forno (pasta per torta);Plum pie, baked (with cake dough);18;130;5;2,6;1,5;2,9;3,5;100;7,7
Pilz (Durchschnitt), gedünstet (ohne Zugabe von Fett und Salz);Champignons (moyenne), à l'étuvée (sans adjonction de graisse ni de sel);Funghi (in media), cotti  (senza aggiunta di grasso e sale);Mushroom (average), stewed (without addition of fat and salt);1;35;1;0,1;6;2,9;10;5,1;0,2
Pilz (Durchschnitt), roh;Champignons (moyenne), crus;Funghi (in media), crudi;Mushroom (average), raw;1;25;0;0,1;4,9;2,4;8,6;4,2;0,2
Pilzrisotto, gekocht;Risotto au champignon, cuit;Risotto ai funghi, cotto;Mushroom risotto, cooked;19;130;4;1,6;1,6;4;3,3;210;0,6
Pilzsauce, gebunden;Sauce aux champignons, liée;Salsa ai funghi, legata;Mushroom sauce, thickened;8;85;4;1,6;0,7;3,6;2,8;330;5
Pilzsuppe;Soupe velouté de champignons;Crema di funghi;Mushroom soup;6;40;1;0,5;0,5;1,1;4,9;370;2
Pinienkerne;Pignon de pin;Pinoli;Pine nuts;14;595;45;4,9;3,7;31,6;0,2;4,6;5,2
Pistazie;Pistache;Pistacchi;Pistachio, dried;18;580;45;5,6;10;20,3;11;9;7,7
Pizza al tonno, gebacken;Pizza au thon, cuite au four;Pizza al tonno, cotta nel forno;Pizza with tuna, baked;27;230;8;3,1;1,5;12,2;1,9;300;1,3
Pizza Calzone, gebacken;Pizza Calzone, cuite au four;Pizza Calzone, cotta nel forno;Pizza Calzone, baked;27;230;8;3,1;1,5;11,5;2,3;360;1,4
Pizza Hawaii, gebacken;Pizza Hawaii, cuite au four;Pizza Hawaii, cotta nel forno;Pizza Hawaii, baked;24;195;6;2,6;1,5;9,5;1,9;300;3,5
Pizza Margherita, gebacken;Pizza Margherite, cuite au four;Pizza Margherita, cotta nel forno;Pizza Margherita, baked;30;240;8;3,4;1,7;9,9;2,1;280;1,5
Pizza mit Gemüse, gebacken;Pizza aux légumes, cuite au four;Pizza alle verdure, cotta nel forno;Pizza with vegetables, baked;17;125;3;1,2;1,9;5,6;6,1;140;1,8
Pizza mit Mascarpone und Rucola, gebacken;Pizza au mascarpone et roquette, cuite au four;Pizza con mascarpone e rucola, cotta nel forno;Pizza with mascarpone and rocket, baked;27;240;10;4,5;1,6;9,6;3,3;270;1,5
Pizza Prosciutto e Funghi, gebacken;Pizza au jambon et champignon, cuite au four;Pizza Prosciutto e Funghi, cotta nel forno;Pizza with ham and mushrooms, baked;24;205;7;2,8;1,6;10,6;4,2;320;1,3
Pizza Prosciutto, gebacken;Pizza au jambon, cuite au four;Pizza Prosciutto, cotta nel forno;Pizza with ham, baked;29;220;7;2,3;1,6;10,6;2,1;380;1,5
Pizza Quattro Formaggi, gebacken;Pizza aux quatre fromages, cuite au four;Pizza Quattro Formaggi, cotta nel forno;Pizza with four cheeses, baked;37;300;10;4,8;1,8;12,9;6,7;430;0,2
Pizzateig (mit Olivenöl), ungebacken;Pâte à pizza (avec graisse végétale), crue;Pasta per pizza (con grasso vegetale), cruda;Pizza doug ( with olive oil), raw;41;230;4;0,6;2;7;0,5;290;0,2
Plätzli (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh ;Escalope (moyenne de veau, boeuf, porc, poulet), crue;Fettina (media di vitello, manzo, maiale, pollo), cruda;Escalope (average of beef, veal, pork, poultry), raw;0;115;3;0,9;0;22,2;1,3;58;0
Polenta nera (aus Maisgriess und Buchweizenmehl), gekocht;Polenta nera, préparée;Polenta nera, preparata;Polenta nera (made from corn semolina and buckwheat flour,) cooked;13;105;3;1,9;1;4,6;3,4;460;0,2
Pommes Chips;Pommes Chips;Pommes Chips;Pommes Chips;49;540;35;2,4;3,6;4,9;8;500;2,6
Pommes Chips fettreduziert;Pommes Chips à matière grasse réduite;Patatine a ridotto contenuto di grassi;Potato chips fat reduced;59;470;22;2,3;4,4;5,9;9,6;480;3,1
Pommes Frites (im Ofen gebacken), ungesalzen;Pommes frites (cuites au four), non salées;Patate fritte (cotte nel forno), non salate;French fries (baked in the oven), unsalted;33;230;9;0,5;2,4;3,3;5,3;16;1,8
Pommes Frites (in HO Sonnenblumenöl fritiert), ungesalzen;Pommes frites (frites dans de l'huile de tournesol HO), non salées;Patate fritte (fritte in olio di girasole HO), non salate;French fries (deep fried in HO sunflower oil), unsalted;33;285;15;1;2,4;3,2;5,1;15;1,7
Popcorn;Popcorn ;Popcorn ;Popcorn;63;370;4;0,6;15;12;0;4;1,2
Portwein, 18.5 vol%;Vin de Porto, 18.5 vol%;Vino di Porto, 18.5 vol%;Port, 18.5 vol%;12;155;0;0;0;0,2;10;9;12
Poulet, Brust, mit Haut, roh (Frankreich);Poulet, poitrine, avec peau, crue (France);Pollo, petto con pelle (Francia), crudo;Chicken, breast, with skin, raw (France);0;130;3;1,2;0;24;10;39;0
Poulet, Brust, mit Haut, roh (Schweiz);Poulet, poitrine, avec peau, crue (Suisse);Pollo, petto con pelle (Svizzera), crudo;Chicken, breast, with skin, raw (Switzerland);0;155;7;2,2;0;23,3;10;34;0
Poulet, Brust, ohne Haut, roh (Frankreich);Poulet, poitrine, sans peau, crue (France);Pollo, petto senza pelle (Francia), crudo;Chicken, breast, without skin, raw (France);0;110;1;0,3;0;25,2;0,6;31;0
Poulet, Brust, ohne Haut, roh (Schweiz);Poulet, poitrine, sans peau, crue (Suisse);Pollo, petto senza pelle (Svizzera), crudo;Chicken, breast, without skin, raw (Switzerland);0;110;1;0,3;0;24,6;0,9;36;0
Poulet, Brust, Schnitzel, roh;Poulet, poitrine, escalope (émincé), crue;Pollo, petto, sminuzzato, crudo;Chicken, breast (cut), raw;0;105;1;0,4;0;23,1;0,4;72;0
Poulet, ganz, mit Haut, roh;Poulet entier, avec peau, cru;Pollo, intero con pelle, crudo;Chicken, whole, with skin, raw;0;170;10;2,8;0;18,8;10;70;0
Poulet, Schenkel, mit Haut, roh;Poulet, cuisse, avec peau, crue;Pollo, coscia con pelle, cruda;Chicken, leg, with skin, raw;0;185;13;3,5;0;17,6;0,4;95;0
Poulet, Schenkel, mit Haut, roh (Frankreich);Poulet, cuisse, avec peau, crue (France);Pollo, coscia con pelle (Francia), cruda;Chicken, leg, with skin, raw (France);0;145;8;2,4;0;19,4;8;57;0
Poulet, Schenkel, mit Haut, roh (Schweiz);Poulet, cuisse, avec peau, crue (Suisse);Pollo, coscia con pelle (Svizzera), cruda;Chicken, leg, with skin, raw (Switzerland);0;165;10;3,2;0;17,9;8;63;0
Poulet, Schenkel, ohne Haut, roh (Frankreich);Poulet, cuisse, sans peau, crue (France);Pollo, coscia senza pelle (Francia), cruda;Chicken, leg, without skin, raw (France);0;125;4;1,3;0;20,6;5;72;0
Poulet, Schenkel, ohne Haut, roh (Schweiz);Poulet, cuisse, sans peau, crue (Suisse);Pollo, coscia senza pelle (Svizzera), cruda;Chicken, leg, without skin, raw (Switzerland);0;135;6;2;0;19,7;5;76;0
Preiselbeere, roh;Airelle rouge, crue;Mirtillo rosso, crudo;Cranberry, fresh;7;40;1;0;2,9;0,3;5;2;7
Prussien;Coeurs de France;Biscotti prussiani;Prussian cookie;54;440;22;13,2;1,2;4,7;0,5;310;27,4
Pudding, Caramel;Flan au caramel;Budino, al caramello;Pudding, caramel;23;125;2;1,4;0,1;3,4;6,2;70;20,1
Pudding, Schokolade;Flan au chocolat;Budino, al cioccolato;Pudding, chocolate;21;125;3;0,4;1;3;3,2;130;12,1
Pudding, Vanille;Flan à la vanille;Budino, alla vaniglia;Pudding, vanilla;18;105;2;0,3;0,1;2,8;5,9;140;10,4
Quark, nature, halbfett;Séré, mi-gras;Quark, natuale, semigrasso;Curds min. 20% fidm;4;100;5;3;0;9,6;21;32;3,4
Quark, nature, mager;Séré maigre;Quark, naturale, magro;Curds with at most 10% fidm;4;65;0;0,1;0;10,8;27;33;3,5
Quark, nature, Rahm;Séré à la crème;Quark, naturale, alla panna;Curds min. 40% fidm;4;185;16;9,4;0;7;8,5;29;3,2
Quarkblätterteig (mit Butter), ungebacken;Pâte feuilletée au séré (avec beurre), crue;Pasta sfogli di quark (con burro), cruda;Curd cheese puff pastry (with butter), raw;29;405;28;16,8;1,3;7,1;3,2;330;1,3
Quarkblätterteig (mit pflanzlichem Fett), ungebacken;Pâte feuilletée au séré (avec graisse végétale), crue;Pasta sfogli di quark (con grasso vegetale), cruda;Curd cheese puff pastry (with vegetable fat), raw;29;400;28;9,3;1,3;7,1;3,6;340;1,1
Quiche Lorraine, gebacken (mit Blätterteig);Quiche Lorraine, cuite au four (pâte feuilletée);Quiche Lorraine, cotta nel forno (pasta sfoglia);Quiche Lorraine, baked (with puff pastry);12;305;25;13;0,4;8,5;9,8;460;1,6
Quiche Lorraine, gebacken (mit Kuchenteig);Quiche Lorraine, cuite au four (pâte à gateau);Quiche Lorraine, cotta nel forno (pasta per torta);Quiche Lorraine, baked (with cake dough);15;295;22;11,2;0,6;9;9,8;480;1,6
Quitte, gekocht, abgetropft (ohne Zugabe von Zucker);Coing, cuit, égoutté (sans adjonction de sucre);Mela cotogna, cotta, sgocciolata (senza aggiunta di zucchero);Quince, cooked, drained (without addition of sugar);8;55;0;0;8;0,4;1,2;3,8;7,9
Quitte, roh;Coing, cru;Mela cotogna, cruda;Quince, fresh;6;45;0;0;6,4;0,3;1;3;6,3
Raclettekäse;Fromage à raclette;Formaggio Raclette;Raclette cheese;0;360;28;16,7;0;26,4;11;730;0
Radieschen, roh;Petit radis, cru;Ravanelli, crudi;Radish, red, raw;2;20;0;0;1,6;1;1,2;21;2,1
Rahm (Durchschnitt);Crème (en moyenne);Panna (in media);Cream (average);3;255;25;15,2;0;2,4;9,9;48;3,4
Rahmglace, Frucht;Crème glacée, aux fruits;Gelato alla panna, gusto frutta;Ice cream, dairy, fruit;25;185;8;5;0;3,5;0;61;23,7
Rahmkaramellen;Caramel mou à la crème;Caramella alla panna;Candy, toffee;79;355;4;2,2;0;0,4;1,1;120;79,3
Rande, gedämpft (ohne Zugabe von Salz);Betterave rouge, à la vapeur (sans adjonction se sel);Barbabietola, al vapore (senza aggiunta di sale);Beetroot, steamed (without addition of salt);11;60;0;0;3,1;1,9;0,5;58;10,5
Rande, roh;Betterave rouge, crue;Barbabietola, cruda;Beetroot, raw;8;50;0;0;2,5;1,5;0,4;58;8,4
Rapsöl;Huile de colza;Olio di colza;Rapeseed oil;0;810;90;7,2;0;0;0;0;0
Rapsöl HOLL (high oleic, low linolenic);Huile de colza HOLL (high oleic, low linolenic);Olio di colza HOLL (high oleic, low linolenic);Rapeseed oil HOLL (high oleic, low linolenic);0;810;90;6,3;0;0;;;0
Ratatouille, zubereitet;Ratatouille, préparée;Ratatouille, preparato;Ratatouille, prepared;5;50;2;0,3;2,1;1,5;1,8;180;4,3
Rauchsalami;Salami fumé;Salame affumicato;Smoked salami;1;515;47;17,9;0;21,4;0,8;1590;0,9
Reblochon;Reblochon;Formaggio Reblochon;Reblochon cheese;0;310;25;15,1;0;20,3;0;800;0
Reh (Durchschnitt), roh;Chevreuil (moyenne), crue;Capriolo (in media), crudo ;Roe (deer), raw;0;125;4;1,6;0;22,4;0,6;84;0
Reh, Ragout, roh;Chevreuil, ragoût (civet), cru;Capriolo, spezzatino, crudo;Roe (deer), ragout, raw;0;105;2;0,5;0;22;0,8;45;0
Reh, Schnitzel, roh;Chevreuil, escalope, cru;Scaloppina di capriolo, cruda;Roe (deer), schnitzel, raw;0;105;2;0,7;0;22,5;0,8;44;0
Reibkäse;Fromage râpé;Formaggio grattugiato;Cheese grated;0;400;29;17,7;0;32,3;40;580;0
Reis parboiled, gekocht in Salzwasser (unjodiert);Riz parboiled, cuit à l'eau salée (sel non iodé);Riso tipo parboiled, bollito in acqua salata (sale non iodato);Rice parboiled, cooked in salted water (uniodised);27;120;0;0,1;0,5;2,4;1;540;0
Reis parboiled, trocken;Riz parboiled, sec;Riso tipo parboiled, secco;Rice parboiled, raw;78;350;1;0,2;1,4;6,9;2;3;0
Reis poliert, gekocht in Salzwasser (unjodiert);Riz blanc, cuit à l'eau salée (sel non iodé);Riso raffinato, bollito in acqua salata (sale non iodato);Rice polished, cooked in salted water (uniodised);26;115;0;0,1;0,5;2,2;0,9;530;0
Reis poliert, trocken;Riz blanc, sec;Riso raffinato, secco;Rice polished, raw;78;350;1;0,2;1,4;6,6;2;5;0
Reis unpoliert, gekocht in Salzwasser (unjodiert);Riz complet, cuit à l'eau salée (sel non iodé);Riso sbramato, bollito in acqua salata (sale non iodato);Rice unpolished, cooked in salted water (uniodised);28;135;1;0,2;1,1;2,8;1,1;610;0,5
Reis unpoliert, trocken;Riz complet, sec;Riso sbramato, secco;Rice unpolished (wholemeal), raw;74;360;3;0,5;3;7,5;2,2;6;1,2
Rettich, roh;Radis, cru;Rafano, crudo;Radish, raw;3;20;0;0;1,2;0,6;1,2;12;2,6
Rhabarber, roh;Rhubarbe, cru;Rabarbaro, crudo;Rhubarb, raw;1;15;0;0;2,5;0,6;2,3;3;1
Rhabarberkuchen, gebacken (mit Blätterteig);Tarte à la rhubarbe, cuite au four (pâte feuilletée);Torta di rabarbaro, cotta nel forno (pasta soglia);Rhubarb pie, baked (with puff pastry);9;115;7;3,8;2;2,5;4;94;2,5
Rhabarberkuchen, gebacken (mit Kuchenteig);Tarte à la rhubarbe, cuite au four (pâte à gateau);Torta di rabarbaro, cotta nel forno (pasta per torta);Rhubarb pie, baked (with cake dough);12;105;5;2,6;2,1;2,9;4,1;100;2,5
Riesenkürbis, gedämpft (ohne Zugabe von Salz);Potiron, à la vapeur (sans adjonction de sel);Zucca gigante, al vapore (senza aggiunta di sale);Winter squash, steamed (without addition of salt);5;25;0;0;1;0,6;0,2;0,8;3,9
Riesenkürbis, roh;Courge, crue;Zucca gialla, cruda;Winter squash, raw;5;25;0;0;1;0,6;0,2;1;3,9
Rind, Brust, gekocht (ohne Zugabe von Fett und Salz);Boeuf, poitrine, cuit (sans adjonction de graisse ni de sel);Manzo, petto, cotto (senza aggiunta di grassi e sale);Beef, breast, cooked (without addition of fat and salt);0;315;21;9;0;31,5;0,5;36;0
Rind, Brust, roh;Boeuf, poitrine, cru;Manzo, petto, crudo;Beef, breast, raw;0;190;13;5,4;0;18,9;0,3;48;0
Rind, Eckstück, roh;Boeuf, coin, tranche, cru;Manzo, fettina, cruda;Beef, round, schnitzel, raw;0;115;2;1,1;0;22,6;3;50;0
Rind, Entrecôte, roh;Boeuf, entrecôte, cru;Manzo, costata, cruda;Beef, entrecôte, steak, raw;0;140;5;2,1;0;22,3;0,1;55;0
Rind, Entrecôte, roh (Schweiz);Boeuf, entrecôte, cru (Suisse);Manzo, entrecôte (Svizzera), crudo ;Beef, entrecôte, steak, raw (Switzerland);0;135;5;2,2;0;23,2;3;42;0
Rind, Entrecôte, roh (USA);Boeuf, entrecôte, cru (USA);Manzo, entrecôte (USA), crudo;Beef, entrecôte, steak, raw (USA);0;210;14;5,6;0;21,7;3;45;0
Rind, Filet, roh;Boeuf, filet, cru;Manzo, filetto, crudo ;Beef, filet, raw;0;110;2;0,9;0;21,9;0,1;42;0
Rind, Gehacktes, roh;Boeuf, haché, cru;Manzo, carne macinata, cruda;Beef, minced, raw;0;155;8;3,2;0;21,6;3;61;0
Rind, Geschnetzeltes, roh;Boeuf, émincé, cru;Manzo, sminuzzato, crudo;Beef, chopped, raw;0;105;2;0,6;0;22,2;3;44;0
Rind, Hals, roh;Boeuf, cou, ragoût (goulache), cru;Manzo, spezzatino di collo, crudo;Beef, ragout (goulash), raw;0;150;8;4;0;19,3;0,2;45;0
Rind, Hohrücken, roh (Schweiz);Boeuf, entrecôte parisienne, cru (Suisse);Manzo, bistecca (Svizzera), cruda ;Beef, prime rib, raw (Switzerland);0;165;9;4;0;21,1;3;45;0
Rind, Hohrücken, roh (USA);Boeuf, entrecôte parisienne, cru (USA);Manzo, bistecca (USA), cruda ;Beef, prime rib, raw (USA);0;220;16;6,8;0;19,3;3;38;0
Rind, Leber, roh;Boeuf, foie, cru;Manzo, fegato, crudo;Beef, liver, raw;5;140;4;1,4;0;20,5;13;120;0
Rind, Runder Mocken, roh;Boeuf, pièce ronde, tranche, cru;Manzo, girello, cruda;Beef, eye of round, raw;0;110;2;0,8;0;22,4;3;39;0
Rind, Schulter, Braten medium, im Ofen gebraten (ohne Zugabe von Fett und Salz);Boeuf, épaule, rôti au four, mi-saignant (sans adjonction de graisse ni de sel);Manzo, spalla, arrosta al forno, cottura media (senza aggiunta di grassi o sale);Beef, shoulder, medium roast in oven (without addition of fat and salt);0;165;5;1,7;0;30;0,1;59;0
Rind, Schulter, Braten rare, im Ofen gebraten (ohne Zugabe von Fett und Salz);Boeuf, épaule, rôti au four, saignant (sans adjonction de graisse ni de sel);Manzo, spalla, arrosta al forno, cottura al sangue (senza aggiunta di grassi o sale);Beef, shoulder, rare roast in oven (without addition of fat and salt);0;150;4;1,5;0;27,7;0,1;54;0
