de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars;imageUrl
Sandwich (Baguette) mit Salami;Sandwich (baguette) au salami;Sandwich (baguette) con salame;Sandwich (baguette bread) with salami;18;160;6;1,6;1,7;5,8;1,3;490;2,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Food-Snack-Eat-Salami-Bread-Bread-Sandwich-Hunger-835981.jpg
Sandwich (Baguette) mit Schinken;Sandwich (baguette) au jambon;Sandwich (baguette) al prosciutto;Sandwich (baguette bread) with ham;17;135;4;0,6;1,6;6,3;1,8;460;2,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Snack-Wurstbrot-Food-Baguette-White-Bread-Sandwich-74356.jpg
Sandwich (Baguette) mit Trockenfleisch;Sandwich (baguette) avec viande séchée;Sandwich (baguette) con carne secca;Sandwich (baguette bread) with dried meat;18;145;4;0,7;1,7;7,2;1,3;500;2,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Meat-Cold-Cuts-Toasted-Sandwich-Turkey-Bread-691875.jpg
Sandwich (Baguette) mit Weichkäse;Sandwich (baguette) au fromage à pâte molle;Sandwich (baguette) con formaggio a pasta molla;Sandwich (baguette bread) with soft cheese;21;185;8;2,6;1,7;6,3;3,3;530;1,2;https://upload.wikimedia.org/wikipedia/commons/e/e3/Salmon_Cream_Cheese_Sandwiches.jpg
Sandwich (Ruchbrot) mit Aufschnitt;Sandwich (pain bis) à la charcuterie;Sandwich (pane bigio) con insaccato scottato;Sandwich (brown bread) with cold cuts;15;145;6;1,6;1,9;5,3;1,9;330;2;http://maxpixel.freegreatpicture.com/static/photo/1x/Fried-Bacon-Butter-Bread-Cold-Cuts-Food-Liver-Pate-1577162.jpg
Sandwich (Ruchbrot) mit Fleischkäse;Sandwich (pain bis) au fromage d'Italie;Sandwich (pane bigio) con Fleischkäse (pasticcio di carne);Sandwich (brown bread) with luncheon meat;22;210;10;2,2;2,2;8,1;6,1;450;1,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Bread-Toaster-Lunch-Luncheon-Food-Breakfast-Toast-315949.jpg
Sandwich (Ruchbrot) mit Halbhartkäse;Sandwich (pain bis) au fromage à pâte mi-dure;Sandwich (pane bigio) al formaggio a pasta semi dura;Sandwich (brown bread) with semi hard cheese;18;175;8;2,8;2,1;7;3,1;430;1,4;http://maxpixel.freegreatpicture.com/static/photo/1x/Brown-Bake-Baked-Bread-Appetite-Breakfast-Bakery-1239259.jpg
Sandwich (Ruchbrot) mit Mozzarella;Sandwich (pain bis) à la mozzarella;Sandwich (pane bigio) con mozzarella;Sandwich (brown bread) with mozzarella;18;155;6;1,9;2,1;6;2;400;1,4;https://cdn.pixabay.com/photo/2016/06/11/23/23/panini-1451097_960_720.jpg
Sandwich (Ruchbrot) mit Rohschinken;Sandwich (pain bis) au jambon cru;Sandwich (pane bigio) al prosciutto crudo;Sandwich (brown bread) with raw ham;16;160;6;1,3;1,9;9;1,8;540;1,3;http://maxpixel.freegreatpicture.com/static/photo/1x/Bread-Chi-Avatar-Snack-Sandwich-Food-Cheese-Ham-1248079.jpg
Sandwich (Ruchbrot) mit Salami;Sandwich (pain bis) au salami;Sandwich (pane bigio) con salame;Sandwich (brown bread) with salami;16;155;7;1,6;2,1;5,9;1,5;480;2,1;https://cdn.pixabay.com/photo/2015/07/08/11/02/bread-835981_960_720.jpg
Sandwich (Ruchbrot) mit Schinken;Sandwich (pain bis) au jambon;Sandwich (pane bigio) al prosciutto;Sandwich (brown bread) with ham;15;125;4;0,6;1,9;6,4;1,9;450;2,1;https://cdn.pixabay.com/photo/2016/03/05/20/04/appetite-1238637_960_720.jpg
Sandwich (Ruchbrot) mit Trockenfleisch;Sandwich (pain bis) avec viande séchée;Sandwich (pane bigio) con carne secca;Sandwich (brown bread) with dried meat;16;135;4;0,7;2,1;7,4;1,5;490;2,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Barbeque-Abstract-Bbq-Barbecue-Beauty-Beef-Bread-1238247.jpg
Sandwich (Ruchbrot) mit Weichkäse;Sandwich (pain bis) au fromage à pâte molle;Sandwich (pane bigio) al formaggio a pasta molla;Sandwich (brown bread) with soft cheese;19;175;8;2,6;2,2;6,5;3,5;520;1,2;https://upload.wikimedia.org/wikipedia/commons/b/bb/Mmm..._Boston_brown_bread_with_cream_cheese_%286280629398%29.jpg
Sardelle im Öl, abgetropft;Anchois à l'huile, égouttée;Acciuga sott'olio, sgocciolata;Fish product, anchovy in oil, drained;0;185;8;2,9;0;26,4;30;4970;0,1;https://upload.wikimedia.org/wikipedia/commons/e/e8/Ngari_aka_fermented_fish..JPG
Sardellenpaste;Crème d'anchois;Pasta di acciughe;Anchovis paste;0;275;21;4,1;0;19,8;24;7720;0,1;https://upload.wikimedia.org/wikipedia/commons/0/0f/Anchovy_closeup.jpg
Sardine im Öl, abgetropft;Sardine à l'huile, égouttée;Sardina sott'olio, sgocciolata;Fish product, sardine in oil, drained;0;215;14;2,8;0;23;26;480;0;https://upload.wikimedia.org/wikipedia/commons/e/e8/Ngari_aka_fermented_fish..JPG
Sardine, roh;Sardine, crue;Sardina, cruda;Fish, sardine, raw;0;165;9;2,6;0;20,4;32;110;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Tuna-Fresh-Market-Raw-Caught-Fish-Seafood-882380.jpg
Saucisse aux choux;Saucisse aux choux;Saucisse aux choux;Cabbage sausage;2;365;32;11,7;0,7;15,9;1,4;990;1,4;http://maxpixel.freegreatpicture.com/static/photo/1x/Sausage-Cabbage-Plate-Fast-Meals-Meat-Quick-Food-14426.jpg
Saucisson;Saucisson;"Salsiccia ""Saucisson""";Saucisson sausage;1;470;44;16,2;0;16,7;1,1;1000;0,5;https://c1.staticflickr.com/3/2606/4076705766_624d6f02ee_b.jpg
Saucisson vaudois;Saucisson vaudois;Salsiccia vodese;Sausage Vaudois;0;360;32;12;0;16,5;;830;0,2;https://upload.wikimedia.org/wikipedia/commons/c/c9/Saucisson_vaudois.jpg
Sauerkraut, in Essig eingelegt;Choucroute, mariné dans du vinaigre;Crauti, sott’aceto;Sauerkraut, pickled;2;20;0;0,1;2,2;1,3;3,1;550;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Cans-Canning-Canned-Food-Pickles-Sauerkraut-198.jpg
Sauerrahm;Crème acidulée;Panna acidula;Sour cream (crème fraîche) 35% fat;3;335;35;21;0;2,3;9;30;2,8;https://upload.wikimedia.org/wikipedia/commons/8/83/Russkij-Borschtsch.jpg
Saurer Halbrahm;Demie-crème acidulé;Panna acida, semigrassa;Sour cream 15% fat;3;175;17;10;0;3;11;40;3,2;https://upload.wikimedia.org/wikipedia/commons/f/f9/Stick-of-butter-salted.jpg
Sbrinz;Sbrinz (fromage à pâte dure);Formaggio Sbrinz;Sbrinz;0;420;33;19,9;0;28,6;40;710;0;https://upload.wikimedia.org/wikipedia/commons/d/d6/SbrinzAOC.jpg
Scampi (Kaisergranat), roh;Langoustine, crue;Scampo, crudo;Norway lobster, raw;1;95;1;0,2;0;19,6;240;340;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Clam-Norway-Lobster-Fork-Mat-Lemon-Paella-1002031.jpg
Schaumwein;Vin blanc mousseux (p.ex. Champagne);Vino spumante (p.es.Champagne);Sparkling wine, champagne;2;70;0;0;0;0,2;10;4;1,5;https://static.pexels.com/photos/3941/new-year-s-eve-ceremony-champagne-sparkling-wine.jpg
Schmelzkäse, Scheibe, Rahm;Fromage fondu en tranches, à la crème;Formaggio fuso a fette, alla panna;Processed cheese, 50% fidm, slice;0;325;30;18;0;13,4;35;1200;0;https://upload.wikimedia.org/wikipedia/commons/e/e9/Egyptian_food_Koshary.jpg
Schmelzkäse, Scheibe, viertelfett;Fromage fondu en tranches, quart-gras;Formaggio fuso a fette, un quarto grasso;Processed cheese, 15% fidm, slice;0;160;9;5,2;0;20,1;35;1200;0;https://upload.wikimedia.org/wikipedia/commons/e/e9/Egyptian_food_Koshary.jpg
Schmelzkäse, Scheibe, vollfett;Fromage fondu en tranches, gras;Formaggio fuso a fette, di latte intero;Processed cheese, 45% fidm, slice;0;305;25;15;0;20;35;1200;0;https://upload.wikimedia.org/wikipedia/commons/e/e9/Egyptian_food_Koshary.jpg
Schmelzkäse, streichfähig, Rahm;Fromage fondu à tartiner, à la crème;Formaggio fuso da spalmare, alla panna;Processed cheese, 50% fidm, spreadable;0;310;29;17,6;0;11,2;35;1100;0;
Schmelzkäse, streichfähig, viertelfett;Fromage fondu à tartiner, quart-gras;Formaggio fuso da spalmare, un quarto grasso;Processed cheese, 15% fidm, spreadable;0;165;9;5,6;0;19,4;35;1200;0;
Schmelzkäse, streichfähig, vollfett;Fromage fondu à tartiner, au lait entier;Formaggio fuso da spalmare, di latte intero;Processed cheese, 45% fidm, spreadable;0;255;21;12,7;0;16;35;1200;0;
Schnittlauch, roh;Ciboulette, crue;Erba cipollina, fresca;Chives, fresh;2;30;1;0,1;2,3;3;4,2;3;1,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Fresh-Vegetables-Material-Vegetable-Field-Chives-1206712.jpg
Schnitzelbrot mit Cocktailsauce;Sandwich à l'escalope avec sauce cocktail;Sandwich di scaloppina con salsa cocktail;Schnitzel bread with cocktail sauce;25;270;11;1,2;1,3;15,1;0,8;520;0,5;https://upload.wikimedia.org/wikipedia/commons/a/a5/Pane_toscano.jpg
Schnitzelbrot mit Tartarsauce;Sandwich à l'escalope avec sauce tartare;Sandwich di scaloppina con salsa tartar;Schnitzel bread with tartare sauce;23;250;10;1,1;1,3;14,4;1,7;480;0,4;https://upload.wikimedia.org/wikipedia/commons/2/28/Kara%C4%91or%C4%91eva_%C5%A1nicla_with_ajvar.jpg
Schokolade, dunkel (bitter);Chocolat noir;Cioccolato, nero (amaro);Chocolate, dark;53;535;32;19,7;7;5,2;2,3;15;50;https://upload.wikimedia.org/wikipedia/commons/b/b7/Dark_chocolate_bar.jpg
Schokolade, weiss;Chocolat blanc;Cioccolato, bianco;Chocolate, white;56;570;35;21,9;0,2;6,8;4,9;110;55,3;https://upload.wikimedia.org/wikipedia/commons/2/2b/White_chocolate_with_rose_petals.jpg
Schokoladencrème;Crème au chocolat;Crema, al cioccolato;Chocolate sauce;20;125;3;1,5;0,5;3,6;7;65;18,7;https://c1.staticflickr.com/3/2489/3782445705_23b227349f.jpg
Schokoladengugelhopf;Kouglof au chocolat;Ciambellone al cioccolato;Chocolate ring cake;46;380;18;10,3;1,8;6,2;7,2;33;22,9;https://cdn.pixabay.com/photo/2015/01/03/16/07/bundt-cake-587552_960_720.jpg
Schokoladenpulver;Chocolat en poudre;Cioccolato in polvere;Chocolate powder;71;405;8;4,6;10,5;6,3;0,9;5;70,6;http://www.publicdomainpictures.net/pictures/10000/velka/chocolate-25761279465122ZiL3.jpg
Scholle, roh;Carrelet, cru;Passera di mare, cruda;Fish, plaice, raw;0;90;2;0,3;0;17,1;53;100;0;https://upload.wikimedia.org/wikipedia/commons/a/a9/Miesmuscheln-2.jpg
Schützenwurst;Boule de Bâle;Salsiccia del cacciatore ;Schützenwurst sausage;0;310;30;10,9;0;9,9;0,6;850;0,2;
Schwarzwälder Kirschtorte;Tourte fôret noire;Torta foresta nera;Black forest cake;21;250;16;9,3;0,9;3,9;5,3;51;12;https://upload.wikimedia.org/wikipedia/commons/6/66/Black_Forest_gateau.jpg
Schwarzwurzel, gedämpft (ohne Zugabe von Salz);Salsifis noir, à la vapeur (sans adjonction de sel);Scorzonera, al vapore (senza aggiunta di sale);Black salsify, steamed (without addition of salt);2;60;0;0,1;20,3;1,6;2,6;4,4;2,3;https://upload.wikimedia.org/wikipedia/commons/e/ea/Kroder_Karpfen.JPG
Schwarzwurzel, roh;Salsifis noir, cru;Scorzonera, cruda;Black salsify, raw;2;55;0;0,1;18,3;1,4;2,5;5;2,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Vegetable-Edible-Horseradish-Food-Root-Plant-32931.png
Schwein, Brustspitz, roh;Porc, fricassée, cru;Maiale, costine, crude;Pork, spare ribs, raw;0;240;19;7,2;0;17,9;1,1;54;0;https://upload.wikimedia.org/wikipedia/commons/0/0d/Raw_pork_spareribs.jpg
Schwein, Eckstück, roh;Porc, noix, tranche, crue;Maiale, fesa francese, cruda;Pork, round, schnitzel, raw;0;115;3;0,7;0;22,6;1;72;0;https://upload.wikimedia.org/wikipedia/commons/d/de/Sausages_of_Csabai.JPG
Schwein, Filet, roh;Porc, filet mignon, cru;Maiale, filetto, crudo;Pork, filet, raw1;0;125;4;1,4;0;22,2;1;120;0;https://upload.wikimedia.org/wikipedia/en/2/26/Various_tuna_sashimi.jpg
Schwein, Gehacktes, roh;Porc, haché, cru;Maiale, carne macinata, cruda;Pork, minced, raw;0;160;9;3,1;0;20,5;1;46;0;http://www.publicdomainpictures.net/pictures/40000/nahled/raw-mince-meat.jpg
Schwein, Geschnetzeltes, roh;Porc, émincé, cru;Maiale, sminuzzato, crudo;Pork, chopped, raw;0;135;5;1,6;0;21,3;1;48;0;https://c1.staticflickr.com/4/3434/5829527553_ceed478456_b.jpg
Schwein, Hals, Steak, roh;Porc, cou, steak, cru;Maiale, bistecca di collo, crudo;Pork, throat, raw;0;205;14;5,5;0;18,9;1,1;47;0;https://upload.wikimedia.org/wikipedia/commons/1/16/Crispy_pata.jpg
Schwein, Haxe, roh;Porc, jarret, cru;Maiale, geretto, crudo;Pork, knuckle, raw;1;175;8;2,7;0;25,6;1;74;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Uncooked-Meat-Veal-Haxe-Raw-Steakes-Veal-Shank-74307.jpg
Schwein, Kotelett, roh;Porc, côtelette, crue;Maiale, costoletta, cruda;Pork, chop, raw;0;180;10;3,9;0;21,4;1,1;43;0;https://c1.staticflickr.com/4/3434/5829527553_ceed478456_b.jpg
Schwein, Leber, roh;Porc, foie, cru;Maiale, fegato, crudo ;Pork, liver, raw;1;130;5;1,7;0;20,7;14;77;0;https://upload.wikimedia.org/wikipedia/commons/8/89/Raw_Fetal_Pig.jpg
Schwein, Nierstück, roh;Porc, filet, cru;Maiale, lonza, cruda;Pork, loin, raw;0;140;5;2;0;22,9;1,2;38;0;https://upload.wikimedia.org/wikipedia/commons/0/05/Poledwiczka_wieprzowa.JPG
Schwein, Runder Mocken, roh;Porc, pièce ronde, tranche, cru;Maiale, girello, cruda;Pork, eye of round, raw;0;130;5;1,7;0;20,6;1,1;45;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Beef-Dinner-Food-Meat-Fillet-Steak-Meal-Grilled-2152698.jpg
"Schwein, Schulter, Braten ""medium"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";Porc, épaule, rôti au four, à point (sans adjonction de graisse ni de sel);Maiale, spalla arrosta al forno, cottura media (senza aggiunta di grassi o sale);Pork, chuck, medium, roast in oven (without addition of fat and salt);0;230;12;2,4;0;31,1;1,3;76;0;http://mountpleasantgranary.net/blog/images/kiltmaking-2.jpg
"Schwein, Schulter, Braten ""rare"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";Porc, épaule, rôti au four, saignant (sans adjonction de graisse ni sel;Maiale, spalla arrosta al forno, cottura al sangue (senza aggiunta di grassi o sale);Pork, chuck, rare, roast in oven (without addition of fat and salt);0;220;11;2,3;0;29,3;1,2;71;0;http://mountpleasantgranary.net/blog/images/kiltmaking-2.jpg
"Schwein, Schulter, Braten ""well done"", im Ofen gebraten (ohne Zugabe von Fett und Salz)";Porc,  épaule, rôti au four, bien cuit  (sans adjonction de graisse ni de sel);Maiale, spalla arrosta al forno, ben cotta (senza aggiunta di grassi o sale);Pork, chuck, well done, roast in oven (without addition of fat and salt);0;295;15;3,1;0;39,7;1,6;96;0;http://mountpleasantgranary.net/blog/images/Rachel-Berwick-Arts-Choir.jpg
Schwein, Schulter, Braten, roh;Porc, épaule, rôti, cru;Maiale, spalla, arrosto, crudo ;Pork, chuck, roast, raw;0;185;9;1,9;0;24,6;1;68;0;https://upload.wikimedia.org/wikipedia/commons/2/28/Strip-steak-MCB-MaggieO.jpg
Schwein, Voressen, roh;Porc, ragoût, cru;Maiale, spezzatino, crudo;Pork, ragout, raw;0;135;6;2,1;0;20,9;0,8;46;0;https://upload.wikimedia.org/wikipedia/commons/f/f0/Horse_meat_hamburger_at_restaurant_Hot%27_Horse%2C_Ljubljana%2C_Slovenia.jpg
Schweinefleisch (Durchschnitt exkl. Innereien, Kotelett, Haxe), roh;Viande de porc (moyenne sans abats ni côtelette ni pied), crue;Carne di maiale (in media, senza interiora, cotoletta, stinco), cruda;Pork (average excluding offal, chop, knuckle), raw;0;160;8;2,9;0;21,4;1,1;63;0;https://upload.wikimedia.org/wikipedia/commons/1/16/Crispy_pata.jpg
Schweineschmalz;Saindoux;Strutto;Pork lard;0;895;99;42,4;0;0;9,7;2;0;https://c1.staticflickr.com/5/4128/5022977616_fb3bcb97bd_b.jpg
Schweinsbratwurst;Saucisse à rôtir de porc;Salsiccia da arrostire di maiale;Pork sausage (Schweinsbratwurst);1;240;19;7,4;0;16,2;;760;0,5;https://cdn.pixabay.com/photo/2014/06/07/20/50/grill-sausages-364578_960_720.jpg
Schweinspiccata, zubereitet;Piccata de porc, préparée;Piccata di maiale, preparata;Porc piccata, prepared;6;235;13;3,2;0,3;23,7;13;340;0,1;https://upload.wikimedia.org/wikipedia/commons/1/19/Coq_au_Vin_-_Marinating.jpg
Schweinsragout mit Sauce, zubereitet;Ragoût de porc avec sauce, préparé;Ragù di maiale con salsa, preparato;Pork ragout with sauce, prepared;3;115;6;1,4;0,6;12,4;1;300;1,6;https://upload.wikimedia.org/wikipedia/commons/3/3e/Suman_with_latik.jpg
Schweinswurst;Petite saucisse de porc, à pocher;Salsiccia di maiale;Pork sausage (Schweinswurst);1;270;22;9;0;16,2;;930;0,5;http://maxpixel.freegreatpicture.com/static/photo/1x/French-Fries-German-Wurst-Sausage-Bratwurst-1232732.jpg
Schweizer Salami, Schweine- und Rindfleisch;Salami suisse, porc et boeuf;Salame svizzero, maiale e manzo;Swiss Salami, beef and pork;1;490;44;16,6;0;22;0,9;1590;1,3;https://upload.wikimedia.org/wikipedia/commons/f/f0/Horse_meat_hamburger_at_restaurant_Hot%27_Horse%2C_Ljubljana%2C_Slovenia.jpg
Seehecht, roh;Merlu, cru;Nasello, crudo;Fish, hake, raw;0;75;0;0,1;0;17;120;77;0;https://static.pexels.com/photos/264715/pexels-photo-264715.jpeg
Seelachs, roh;Lieu noir, cru;Merluzzo nero, crudo;Fish, pollock, raw;0;80;0;0,1;0;19,3;85;40;0;https://upload.wikimedia.org/wikipedia/commons/1/18/Bluefin-big.jpg
Seezunge, roh;Sole, crue;Sogliola, cruda;Fish, sole, raw;0;85;1;0,2;0;18,7;25;120;0;https://static.pexels.com/photos/32999/pexels-photo.jpg
Sellerie-Piccata, zubereitet;Piccata de céléris, préparée;Piccata di sedano rapa, preparata;Celeriac piccata, prepared;7;165;12;4,4;4,3;5,3;9,5;320;2;
Selleriescheiben, paniert, zubereitet;Tranches de céléri, panées, préparées;Fette di sedano rapa, impanate, preparate;Celeriac slices, breaded, prepared;14;140;6;0,7;5,3;5;6,7;350;2,1;https://upload.wikimedia.org/wikipedia/commons/0/03/Schabowy_Gniezno.jpg
Semmeli;"Petit pain ""Semmeli""";"Panino ""Semmeli""";Semmeli (bread roll, white);53;265;1;0,2;2,6;8,9;0,8;660;1;https://upload.wikimedia.org/wikipedia/commons/c/c7/Korb_mit_Br%C3%B6tchen.JPG
Sesamsamen ungeschält;Graine de sésame;Semi di sesamo;Sesame seeds whole;12;590;50;9,2;11,8;17,7;10;7,7;0,4;https://upload.wikimedia.org/wikipedia/commons/3/38/Sesame_seeds.JPG
Sherry, 18.5 vol%;Sherry, 18.5 vol%;Sherry, 18.5 vol%;Sherry, 18.5 vol%;4;120;0;0;0;0,1;10;6;3,6;https://upload.wikimedia.org/wikipedia/commons/2/21/Sheep_club2.jpg
Siedfleischsalat, zubereitet;Salade de boeuf bouilli, préparée;Insalata di bollito, preparata;Boiling meat salad, prepared;2;230;17;4,5;0,5;16,5;2,8;310;1,3;https://upload.wikimedia.org/wikipedia/commons/9/9c/The_everyday_cook_and_recipe_book_-_containing_more_than_two_thousand_practical_recipes_for_cooking_every_kind_of_meat%2C_fish%2C_poultry%2C_game%2C_soups%2C_broths%2C_vegetables_and_salads_-_also_for_making_all_%2814779524364%29.jpg
Silberzwiebel, in Essig eingelegt;Oignon au vinaigre;Cipolline, sott'aceto;Pearl onion, pickled;5;30;0;0;1,3;0,9;0;450;3,5;https://c1.staticflickr.com/9/8155/28985316436_86d4844d54_b.jpg
Sirup unverdünnt;Sirop concentré;Sciroppo concentrato;Syrup undiluted;92;375;0;0;0,9;0,1;0,9;1,3;91,4;https://upload.wikimedia.org/wikipedia/commons/9/96/Bee%27s_Knees.jpg
Sirup zubereitet (verdünnt im Verhältnis 1:5.5);Sirop preparé (dilué en proportion 1:5.5);Sciroppo pronto (diluito di regola 1:5.5);Syrup, ready to drink (dilution 1:5.5);14;55;0;0;0,1;0;0,1;1;13,4;
Sojabohne, gekocht (ohne Zugabe von Fett und Salz);Fève de soja, cuite (sans adjonction de graisse ni de sel);Fagiolo di soia, cotto (senza aggiunta di grassi o sale);Soybean, cooked (without addition of fat and salt);12;175;7;0,8;3,6;14;3,6;2,4;1,4;https://upload.wikimedia.org/wikipedia/en/b/bf/Melon-flavored_soy_drink.jpg
Sojabohne, getrocknet;Fève de soja, sèche;Fagioli di soia, secchi;Soybean, dried;29;435;17;2,1;8,9;35,1;9;6;3,5;https://upload.wikimedia.org/wikipedia/commons/7/7e/Trader_joes_edamame.jpg
Sojamehl, entfettet;Farine de soja, dégraissée;Farina di soia, sgrassata;Soya flour, defatted;1;250;1;0,2;27,5;45,2;0,8;35;0,6;https://upload.wikimedia.org/wikipedia/commons/3/30/Spaghetti_carbonara.jpg
Sojamehl, vollfett;Farine de soja, entière;Farina di soia integrale (intera);Soya flour, full fat;3;405;21;2,9;18,5;40,8;0,5;40;3,1;https://upload.wikimedia.org/wikipedia/en/b/bf/Melon-flavored_soy_drink.jpg
Sojamilch;Lait de soja;Latte di soia;Soya milk;2;45;2;0,2;1,1;4;0,4;26;1,3;https://upload.wikimedia.org/wikipedia/commons/a/af/Soy_milk_%282%29.jpg
Sojaöl;Huile de soja;Olio di soia;Soybean oil;0;810;90;12,7;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/5/5d/Soybean_Oil%2C_Meal_and_Beans_%2810059732523%29.jpg
Sojaschrot;Soja égrugé;Cruschello di soia;Soya meal;1;250;1;0,2;27,5;45,2;0,8;35;0,6;https://upload.wikimedia.org/wikipedia/commons/5/5d/Soybean_Oil%2C_Meal_and_Beans_%2810059732523%29.jpg
Sojasprossen, roh;Pousses de soja, crues;Germogli di soia, crudi;Soybean sprouts;5;55;1;0,1;2,4;5,5;2;30;4,6;https://upload.wikimedia.org/wikipedia/commons/8/8a/Kongnamul_%28soybean_sprout%29.jpg
Sonnenblumenkerne;Graine de tournesol;Semi di girasole;Sunflower seeds;12;630;53;5,1;8;21,3;5;3,6;2,1;https://upload.wikimedia.org/wikipedia/commons/3/39/Sunflower_Seeds_Kaldari.jpg
Sonnenblumenöl;Huile de tournesol;Olio di semi di girasole;Sunflower oil;0;810;90;9,9;0;0;0;0,9;0;https://upload.wikimedia.org/wikipedia/commons/0/08/Sunflower_oil_and_sunflower.jpg
Sonnenblumenöl HO (high oleic), raffiniert;Huile de tournesol HO, raffinée;Olio di girasole HO, raffinato;Sunflower oil HO (high oleic), refined;0;810;90;6,3;0;0;;;0;https://upload.wikimedia.org/wikipedia/commons/7/7a/Canola_field.jpg
Sorbet, Frucht;Sorbet, aux fruits;Sorbetto, alla frutta;Sorbet, fruit;32;140;0;0;0,4;0,2;2,6;1;32,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Treat-Raspberry-Sherbet-Fruit-Tasty-Cold-Dessert-992821.jpg
Spargel, gedämpft (ohne Zugabe von Salz);Asperge, à la vapeur (sans adjonction de sel);Asparago, al vapore (senza aggiunta di sale);Asparagus, steamed (without addition of salt);3;30;0;0;1,7;2,2;6,6;2,6;3,2;https://c1.staticflickr.com/2/1392/766109980_c46fd2aa62_b.jpg
Spargel, roh;Asperge, crue;Asparago, crudo;Asparagus, raw;3;30;0;0;1,7;2,2;7;3;3,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Vegetable-Bundle-Asparagus-Food-Green-Raw-Fresh-700169.jpg
Spinat, gedämpft (ohne Zugabe von Salz);Épinard, à la vapeur (sans adjonction de sel);Spinaci, al vapore (senza aggiunta di sale);Spinach, steamed (without addition of salt);1;30;1;0,1;3,4;3,6;15;73;0,9;https://upload.wikimedia.org/wikipedia/commons/0/05/Green_garlic_and_spinach_soup.jpg
Spinat, roh;Épinard, cru;Spinaci, crudi;Spinach, raw;1;25;0;0,1;2,6;2,7;12;65;0,7;https://upload.wikimedia.org/wikipedia/commons/0/07/1_cup_of_raw_salad_leaves%2C_for_example_raw_spinach..JPG
Spinatkuchen, gebacken (mit Blätterteig);Gateau aux épinards, cuit au four (pâte feuilletée);Torta ai spinaci, cotta nel forno (pasta sfoglia);Spinach quiche, baked (with puff pastry);10;180;12;6,5;2,1;5,8;11;450;1,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Quiche-Cheese-Onion-Dough-Tomatoes-Egg-Eat-Bacon-1579383.jpg
Spinatkuchen, gebacken (mit Kuchenteig);Gateau aux épinards, cuit au four (pâte à gateau);Torta ai spinaci, cotta nel forno (pasta per torta);Spinach quiche, baked (with cake dough);12;170;10;5,2;2,2;6,1;11;460;1,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Dough-Quiche-Tomatoes-Cheese-Vegetable-Cake-1403459.jpg
Spirituosen 40 vol% (z.B. Brandy, Gin);Eaux-de-vie, 40 vol% (p.e. Abricotine, Brandy, Gin, Rhum, Williamine, Whisky);Acquavite 40 vol% (Brandy, Gin, Rum, Whisky);Spirits, 40 vol% (e.g. brandy, gin);0;225;0;0;0;0;0;2;0;https://upload.wikimedia.org/wikipedia/commons/d/d8/Spirituosen-im-supermarkt.jpg
Spitzbube (Mürbeteiggebäck mit Konfitüre);Coquin (Sablés à la confiture);Discoletto (Frollini alla marmellata);Rascal (Shortbread cookie with jam);60;500;26;15;1,9;5,8;0,9;33;30,9;https://upload.wikimedia.org/wikipedia/commons/c/cf/Bakewell_tart_on_a_plate.jpg
St. Galler Bürli (halbweiss);Bürli de St. Gall (farine mi-blanche);Bürli di San Gallo (farina semi-bianca);Bread roll from St. Gallen (semi white);45;235;1;0,1;3,5;9,1;1,1;840;0,3;https://upload.wikimedia.org/wikipedia/commons/5/5c/Grilled_kielbasa.jpg
St. Galler Schüblig;Schüblig de Saint-Gall;Schüblig di San Gallo;St. Gall Schüblig sausage;0;295;26;9,7;0;13,6;0,4;850;0,2;https://upload.wikimedia.org/wikipedia/commons/f/f2/W%C3%BCrste_r.JPG
St. Paulin;St. Paulin;Formaggio St. Paulin;St. Paulin cheese;1;285;23;13,8;0;18;35;800;0;https://upload.wikimedia.org/wikipedia/commons/e/ed/Saint_Paulin_cheese.jpg
Stachelbeere, roh;Groseille à maquereau, crue;Uva spina, cruda;Gooseberry, raw;6;35;0;0;3,2;0,6;0,9;1;6,2;https://c1.staticflickr.com/6/5694/31018386295_35d4d3fdd2_b.jpg
Stangensellerie, gedämpft (ohne Zugabe von Salz);Céleri branche, à la vapeur (sans adjonction de sel);Sedano verde, al vapore (senza aggiunta di sale);Celery, steamed (without addition of salt);2;20;0;0;2,1;1;1;100;1,6;https://c1.staticflickr.com/5/4147/4986402715_8ddcfa2eff_b.jpg
